Path,Name,name_cfg,name_png,BezelPath
./galaxianiii.zip,Galaxian III,galaxianiii.cfg,galaxianiii.png,/base/path/galaxianiii.cfg
./galaxbsf.zip,Galaxian,galaxbsf.cfg,galaxbsf.png,/base/path/galaxbsf.cfg
./1943.zip,1943: Midway Kaisen,1943.cfg,1943.png,/base/path/1943.cfg
./bloodbro.zip,Blood Brothers,bloodbro.cfg,bloodbro.png,/base/path/bloodbro.cfg
./cotton.zip,Cotton 2: Magical Night Dreams,cotton.cfg,cotton.png,/base/path/cotton.cfg
./fball.zip,Fire Ball,fball.cfg,fball.png,/base/path/fball.cfg
./ryorioh.zip,Gourmet Battle Quiz Ryouri-ou CooKing,ryorioh.cfg,ryorioh.png,/base/path/ryorioh.cfg
./ironhors.zip,Dai Ressya Goutou,ironhors.cfg,ironhors.png,/base/path/ironhors.cfg
./janshin.zip,Jyanshin Densetsu - Quest of Jongmaster,janshin.cfg,janshin.png,/base/path/janshin.cfg
./majtitl2.zip,The Irem Skins Game,majtitl2.cfg,majtitl2.png,/base/path/majtitl2.cfg
./megrescu.zip,Megumi Rescue,megrescu.cfg,megrescu.png,/base/path/megrescu.cfg
./neocdz.zip,Nekketsu Koukou Dodgeball Bu,neocdz.cfg,neocdz.png,/base/path/neocdz.cfg
./nbbatman.zip,Yakyū Kakutō League Man,nbbatman.cfg,nbbatman.png,/base/path/nbbatman.cfg
./onna34ro.zip,Onna Sansirou: Typhoon Gal,onna34ro.cfg,onna34ro.png,/base/path/onna34ro.cfg
./pitfall2.zip,Pitfall II: Lost Caverns,pitfall2.cfg,pitfall2.png,/base/path/pitfall2.cfg
./pnyaa.zip,Pochi & Nyaa,pnyaa.cfg,pnyaa.png,/base/path/pnyaa.cfg
./svcpcb.zip,SNK vs. Capcom: SVC Chaos,svcpcb.cfg,svcpcb.png,/base/path/svcpcb.cfg
./startrek.zip,Star Trek: Strategic Operations Simulator,startrek.cfg,startrek.png,/base/path/startrek.cfg
./sf2hf.zip,Street Fighter II Turbo: Hyper Fighting,sf2hf.cfg,sf2hf.png,/base/path/sf2hf.cfg
./scontra.zip,Super Contra: The Alien Strikes Back,scontra.cfg,scontra.png,/base/path/scontra.cfg
./srdarwin.zip,SRD Super Real Darwin,srdarwin.cfg,srdarwin.png,/base/path/srdarwin.cfg
./term2.zip,Terminator 2: Judgment Day,term2.cfg,term2.png,/base/path/term2.cfg
./esb.zip,Star Wars: The Empire Strikes Back,esb.cfg,esb.png,/base/path/esb.cfg
./toki.zip,Ju Ju Densetsu,toki.cfg,toki.png,/base/path/toki.cfg
./wschamp.zip,Wing Shooting Championship,wschamp.cfg,wschamp.png,/base/path/wschamp.cfg
./88games.zip,'88 Games,88games.cfg,88games.png,/base/path/88games.cfg
./flagrall.zip,'96 Flag Rally,flagrall.cfg,flagrall.png,/base/path/flagrall.cfg
./10yard.zip,10-Yard Fight,10yard.cfg,10yard.png,/base/path/10yard.cfg
./progolf.zip,18 Holes Pro Golf,progolf.cfg,progolf.png,/base/path/progolf.cfg
./1941.zip,1941: Counter Attack,1941.cfg,1941.png,/base/path/1941.cfg
./1942.zip,1942,1942.cfg,1942.png,/base/path/1942.cfg
./1943kai.zip,1943 Kai: Midway Kaisen,1943kai.cfg,1943kai.png,/base/path/1943kai.cfg
./1943mii.zip,1943: The Battle of Midway Mark II,1943mii.cfg,1943mii.png,/base/path/1943mii.cfg
./1944.zip,1944 : The Loop Master,1944.cfg,1944.png,/base/path/1944.cfg
./1945kiii.zip,1945k III,1945kiii.cfg,1945kiii.png,/base/path/1945kiii.cfg
./ksayakyu.zip,Kusayakyuu,ksayakyu.cfg,ksayakyu.png,/base/path/ksayakyu.cfg
./19xx.zip,19XX : The War Against Destiny,19xx.cfg,19xx.png,/base/path/19xx.cfg
./openice.zip,2 On 2 Open Ice Challenge,openice.cfg,openice.png,/base/path/openice.cfg
./2020bb.zip,2020 Super Baseball,2020bb.cfg,2020bb.png,/base/path/2020bb.cfg
./3countb.zip,3 Count Bout,3countb.cfg,3countb.png,/base/path/3countb.cfg
./3on3dunk.zip,3 On 3 Dunk Madness,3on3dunk.cfg,3on3dunk.png,/base/path/3on3dunk.cfg
./dblewing.zip,3-d Bowling,dblewing.cfg,dblewing.png,/base/path/dblewing.cfg
./3x3puzzl.zip,3x3 Puzzle,3x3puzzl.cfg,3x3puzzl.png,/base/path/3x3puzzl.cfg
./4enraya.zip,4 En Raya,4enraya.cfg,4enraya.png,/base/path/4enraya.cfg
./4in1.zip,4 Fun In 1,4in1.cfg,4in1.png,/base/path/4in1.cfg
./4dwarrio.zip,4-D Warriors,4dwarrio.cfg,4dwarrio.png,/base/path/4dwarrio.cfg
./64street.zip,64th. Street - A Detective Story,64street.cfg,64street.png,/base/path/64street.cfg
./7ordi.zip,7 Ordi,7ordi.cfg,7ordi.png,/base/path/7ordi.cfg
./8ballact.zip,Eight Ball Action,8ballact.cfg,8ballact.png,/base/path/8ballact.cfg
./abcop.zip,A.B. Cop,abcop.cfg,abcop.png,/base/path/abcop.cfg
./ad2083.zip,A. D. 2083,ad2083.cfg,ad2083.png,/base/path/ad2083.cfg
